external_gene_name	CAI	CBI	Fop	L_aa	tAI
Zglp1	0.479	0.198	0.566	266	0.159529208340196
Vmn2r65	0.321	-0.207	0.346	845	0.145993575776167
Gm10024	0.535	0.223	0.603	119	0.218026056274583
Oog3	0.343	-0.107	0.395	500	0.153235574041578
Ldlrap1	0.586	0.478	0.722	308	0.169295797212174
Mdn1	0.382	-0.031	0.445	5582	0.154799563105172
Ifi208	0.369	-0.18	0.378	588	0.145394181657977
Wfdc17	0.385	-0.232	0.37	76	0.174460546196388
Mfap1b	0.416	0.002	0.47	439	0.159498244472779
Tmsb15b2	0.312	-0.401	0.273	45	0.147296600497796
Cstdc5	0.367	-0.212	0.368	97	0.160609132697736
Gm15114	0.296	-0.302	0.297	433	0.131565358439554
Vmn1r223	0.328	-0.101	0.394	361	0.141088116826926
Umad1	0.44	0.066	0.51	159	0.149845362409818
Dnajc3	0.415	0.053	0.496	504	0.165903722131202
Niban3	0.526	0.372	0.656	591	0.167367718792476
Rsph3b	0.427	0.108	0.517	389	0.154039034302199
Rnaset2a	0.494	0.236	0.593	259	0.173249504944003
Fam174b	0.586	0.436	0.693	153	0.161356986430082
Spink13	0.371	-0.196	0.367	97	0.160506363656936
Apela	0.327	-0.165	0.353	54	0.128766372407031
Gm10767	0.355	-0.24	0.347	103	0.144896989754618
Prcd	0.532	0.329	0.64	53	0.151145564118256
Myocos	0.439	0	0.478	143	0.161736680242468
Cep85l	0.36	-0.096	0.413	806	0.152301582353781
Gm10406	0.381	-0.061	0.422	205	0.1560456630147
Cstdc6	0.37	-0.212	0.372	96	0.164522869240428
Or10h1b	0.494	0.271	0.603	315	0.150440789508841
Or10h1	0.495	0.278	0.607	315	0.149828883455778
Btnl1	0.454	0.151	0.545	509	0.15559615063289
Isg15	0.585	0.455	0.708	161	0.17226518011746
Defa30	0.404	0.035	0.483	93	0.167548568590929
Vmn2r121	0.329	-0.223	0.343	847	0.147113426460915
Sirpb1c	0.374	-0.043	0.439	391	0.146820008111435
Mup9	0.339	-0.168	0.368	180	0.153052272153339
