external_gene_name	CAI	CBI	Fop	L_aa	tAI
A1BG	0.583	0.597	0.784	495	0.309940570580384
NAT2	0.249	-0.078	0.416	290	0.339204231927846
ADA	0.487	0.443	0.703	363	0.360630754792344
CDH2	0.259	-0.104	0.41	906	0.330463409282025
AKT3	0.201	-0.31	0.3	479	0.307138054497955
GAGE12F	0.255	-0.284	0.342	117	0.316014587588801
MED6	0.217	-0.238	0.335	257	0.327429554937096
NR2E3	0.522	0.496	0.73	410	0.331050902977648
NAALAD2	0.202	-0.318	0.294	740	0.327957293464358
DUXB	0.254	-0.126	0.401	345	0.329894111910705
DDTL	0.487	0.506	0.735	134	0.323146160060619
DDT	0.487	0.506	0.735	134	0.323146160060619
NAALADL1	0.494	0.452	0.706	740	0.33474795111467
SIGLEC14	0.491	0.471	0.715	396	0.324005986402676
ACOT8	0.491	0.459	0.712	319	0.339359762256539
ABI1	0.239	-0.274	0.326	508	0.305472615975401
GNPDA1	0.437	0.312	0.635	289	0.363995942638651
KCNE3	0.395	0.264	0.602	103	0.323101517139082
ZBTB33	0.195	-0.326	0.293	672	0.312782398551312
CDH3	0.451	0.366	0.663	829	0.332623733884118
TANK	0.206	-0.293	0.311	425	0.308919198452942
POM121C	0.408	0.214	0.593	987	0.29467810283208
ZSCAN30	0.275	-0.083	0.423	494	0.33267151533024
SRA1	0.356	0.134	0.542	236	0.307807530078427
TMEM170B	0.326	0.191	0.558	132	0.311423300872328
ZGLP1	0.459	0.362	0.659	271	0.314426640630919
GJE1	0.175	-0.267	0.303	205	0.323288644549457
MINAR2	0.245	-0.12	0.398	190	0.323309031535749
C8orf88	0.217	-0.249	0.339	117	0.337456726141967
FAM229A	0.533	0.575	0.774	127	0.292535709293017
TRAPPC3L	0.229	-0.16	0.373	181	0.335238117795563
CTAGE4	0.188	-0.372	0.266	777	0.310722834343562
TEKTIP1	0.616	0.616	0.795	209	0.31119140850773
OST4	0.546	0.681	0.829	37	0.419231031673411
CIROP	0.315	0.096	0.514	788	0.304097525456888
ZBTB42	0.558	0.565	0.767	422	0.311452767367705
KHDC1L	0.439	0.34	0.647	128	0.308852377606143
DEFB131B	0.242	-0.2	0.358	70	0.348801714520916
CXorf51A	0.305	0	0.472	108	0.301067131594802
SMIM27	0.272	0.053	0.471	55	0.334275699397528
C1orf68	0.383	0.092	0.537	250	0.383984327731392
TDRD15	0.149	-0.494	0.198	1934	0.320293135246121
SMIM10L1	0.589	0.714	0.846	68	0.319777118964622
LINC03041	0.24	-0.196	0.359	108	0.337525547049242
FAM236A	0.372	0.143	0.539	79	0.331682092950387
MKRN2OS	0.347	0.157	0.553	223	0.342926436431619
ETDB	0.38	0.238	0.582	59	0.314339449401238
TEX13C	0.47	0.358	0.664	993	0.326300050585817
ZNF730	0.205	-0.35	0.289	503	0.333440533361062
FAM47E	0.337	0.135	0.535	393	0.334525489945686
TCF24	0.57	0.614	0.793	167	0.286208895749337
IZUMO3	0.227	-0.075	0.411	233	0.31939135941437
CCDC152	0.163	-0.371	0.259	254	0.340446207748049
ZNF737	0.244	-0.199	0.369	536	0.334255581120159
FAM205C	0.282	-0.047	0.441	338	0.330571619114736
HDAC6	0.396	0.25	0.601	1215	0.322084733136769
HSFX2	0.36	0.144	0.548	423	0.311109267001734
CCDC166	0.606	0.715	0.844	439	0.290587435022396
C8orf89	0.202	-0.312	0.299	161	0.293139291858143
C17orf107	0.462	0.473	0.716	190	0.304025066925891
TMEM262	0.622	0.698	0.837	116	0.361975980097735
CXorf49	0.44	0.332	0.649	514	0.314830513042069
TMEM221	0.504	0.525	0.74	291	0.308790718312875
CD300H	0.38	0.212	0.578	201	0.315738964002769
LINC02881	0.345	0.122	0.532	130	0.29388520735823
PRR32	0.258	-0.151	0.39	298	0.292707159306409
ATP6V1FNB	0.501	0.478	0.719	176	0.332453004420763
LRRC70	0.146	-0.438	0.213	622	0.313781965949979
LRRC69	0.244	-0.096	0.407	191	0.331375709261406
EFCAB10	0.248	-0.083	0.42	149	0.316642584325038
SBK3	0.504	0.454	0.707	359	0.309769904814668
TSTD3	0.191	-0.342	0.283	97	0.359125603142293
SMIM6	0.327	0.238	0.586	62	0.340079478559928
SYCE1L	0.46	0.433	0.692	242	0.330839950646139
SPATA48	0.206	-0.338	0.29	438	0.295145895660475
ZNF316	0.653	0.725	0.856	1004	0.313785626055439
BSPH1	0.26	-0.105	0.419	132	0.339982413534746
TSTD1	0.38	0.298	0.622	115	0.333225460816433
NEMP2	0.266	-0.009	0.454	417	0.313377929298161
ANKRD63	0.585	0.661	0.816	380	0.290447402038611
DPEP2NB	0.319	0.055	0.496	123	0.310085606986744
C11orf91	0.622	0.73	0.856	193	0.294251748465676
SP9	0.696	0.826	0.909	484	0.319482398626332
CD300LD	0.34	0.118	0.527	194	0.316768531448889
PRR23D1	0.314	0.046	0.487	279	0.294793011810265
ARMCX4	0.277	-0.1	0.429	2290	0.351259278835124
PET100	0.409	0.403	0.672	73	0.328284337773723
